,State,Value
0,Alabama,"152,210.6"
1,Alaska *,"29,712.5"
2,Arizona,"220,652.4"
3,Arkansas,"88,484.9"
4,California,"1,583,029.8"
5,Colorado,"201,227.3"
6,Connecticut,"205,012.5"
7,District of Columbia,"34,497.3"
8,Delaware,"36,335.7"
9,Florida,"726,357.4"
10,Georgia,"331,391.4"
11,Hawaii *,"53,520.2"
12,Idaho,"48,997.3"
13,Illinois,"538,588.1"
14,Indiana,"216,350.9"
15,Iowa,"109,906.4"
16,Kansas,"105,159.4"
17,Kentucky,"134,505.7"
18,Louisiana,"156,784.8"
19,Maine,"47,261.8"
20,Maryland,"268,336.4"
21,Massachusetts,"323,214.5"
22,Michigan,"347,081.0"
23,Minnesota,"216,239.6"
24,Mississippi,"86,109.8"
25,Missouri,"208,184.5"
26,Montana,"32,669.9"
27,Nebraska,"68,559.2"
28,Nevada,"104,455.4"
29,New Hampshire,"58,904.4"
30,New Jersey,"440,854.8"
31,New Mexico,"63,188.9"
32,New York,"911,071.4"
33,North Carolina,"328,910.1"
34,North Dakota,"23,798.8"
35,Ohio,"409,695.7"
36,Oklahoma,"127,818.7"
37,Oregon,"133,838.5"
38,Pennsylvania,"506,499.0"
39,Rhode Island,"43,401.3"
40,South Carolina,"143,317.3"
41,South Dakota,"30,539.8"
42,Tennessee,"211,071.0"
43,Texas,"871,849.7"
44,Utah,"86,368.5"
45,Vermont,"24,192.0"
46,Virginia,"343,287.8"
47,Washington,"278,655.9"
48,West Virginia,"54,198.6"
49,Wisconsin,"211,886.6"
50,Wyoming,"24,018.5"
