,State,Value
0,Alabama,"115,166.1"
1,Alaska *,"22,201.9"
2,Arizona,"145,930.3"
3,Arkansas,"65,878.2"
4,California,"1,193,779.4"
5,Colorado,"154,765.5"
6,Connecticut,"155,240.9"
7,District of Columbia,"25,838.2"
8,Delaware,"30,328.7"
9,Florida,"512,579.5"
10,Georgia,"255,618.2"
11,Hawaii *,"39,012.2"
12,Idaho,"35,112.4"
13,Illinois,"434,249.5"
14,Indiana,"178,017.8"
15,Iowa,"84,927.4"
16,Kansas,"79,379.0"
17,Kentucky,"106,642.1"
18,Louisiana,"117,657.3"
19,Maine,"38,471.0"
20,Maryland,"206,990.1"
21,Massachusetts,"254,257.9"
22,Michigan,"306,385.4"
23,Minnesota,"169,899.6"
24,Mississippi,"66,372.4"
25,Missouri,"165,772.5"
26,Montana,"22,490.8"
27,Nebraska,"52,986.8"
28,Nevada,"69,976.3"
29,New Hampshire,"47,155.6"
30,New Jersey,"347,247.7"
31,New Mexico,"46,931.7"
32,New York,"707,720.0"
33,North Carolina,"231,805.7"
34,North Dakota,"17,527.7"
35,Ohio,"339,907.5"
36,Oklahoma,"90,233.1"
37,Oregon,"101,865.4"
38,Pennsylvania,"396,187.8"
39,Rhode Island,"35,028.0"
40,South Carolina,"107,527.0"
41,South Dakota,"21,003.5"
42,Tennessee,"164,012.6"
43,Texas,"632,485.7"
44,Utah,"59,048.8"
45,Vermont,"19,073.4"
46,Virginia,"250,928.1"
47,Washington,"202,861.5"
48,West Virginia,"44,286.6"
49,Wisconsin,"171,173.6"
50,Wyoming,"15,724.5"
