,State,Value
0,Alabama,"167,675.6"
1,Alaska *,"37,580.6"
2,Arizona,"225,853.2"
3,Arkansas,"99,328.7"
4,California,"1,738,413.1"
5,Colorado,"222,572.0"
6,Connecticut,"229,055.1"
7,District of Columbia,"41,968.5"
8,Delaware,"39,796.7"
9,Florida,"766,185.8"
10,Georgia,"359,574.7"
11,Hawaii *,"59,922.3"
12,Idaho,"53,041.3"
13,Illinois,"568,154.3"
14,Indiana,"244,551.2"
15,Iowa,"125,586.2"
16,Kansas,"122,294.5"
17,Kentucky,"151,069.5"
18,Louisiana,"176,174.7"
19,Maine,"52,255.6"
20,Maryland,"305,178.4"
21,Massachusetts,"365,526.7"
22,Michigan,"370,180.0"
23,Minnesota,"241,434.9"
24,Mississippi,"95,844.4"
25,Missouri,"229,644.3"
26,Montana,"38,051.9"
27,Nebraska,"83,473.7"
28,Nevada,"105,185.4"
29,New Hampshire,"65,443.3"
30,New Jersey,"473,913.4"
31,New Mexico,"72,820.7"
32,New York,"1,009,303.3"
33,North Carolina,"354,294.4"
34,North Dakota,"32,933.5"
35,Ohio,"451,900.6"
36,Oklahoma,"147,778.3"
37,Oregon,"146,081.6"
38,Pennsylvania,"562,622.1"
39,Rhode Island,"46,933.3"
40,South Carolina,"159,091.0"
41,South Dakota,"36,636.0"
42,Tennessee,"241,769.0"
43,Texas,"1,058,034.2"
44,Utah,"96,312.3"
45,Vermont,"27,350.3"
46,Virginia,"386,298.0"
47,Washington,"303,939.3"
48,West Virginia,"63,448.7"
49,Wisconsin,"234,574.9"
50,Wyoming,"28,426.3"
