,State,Value
0,Alabama,"120,209.9"
1,Alaska *,"23,190.6"
2,Arizona,"154,810.7"
3,Arkansas,"69,722.0"
4,California,"1,249,800.3"
5,Colorado,"157,543.2"
6,Connecticut,"157,488.0"
7,District of Columbia,"26,173.7"
8,Delaware,"31,030.8"
9,Florida,"538,104.0"
10,Georgia,"264,925.8"
11,Hawaii *,"40,852.2"
12,Idaho,"36,321.7"
13,Illinois,"441,946.1"
14,Indiana,"182,141.9"
15,Iowa,"86,664.5"
16,Kansas,"81,546.5"
17,Kentucky,"109,563.3"
18,Louisiana,"121,062.4"
19,Maine,"40,116.6"
20,Maryland,"216,518.7"
21,Massachusetts,"259,814.7"
22,Michigan,"313,829.8"
23,Minnesota,"177,859.9"
24,Mississippi,"68,980.3"
25,Missouri,"171,789.9"
26,Montana,"24,082.1"
27,Nebraska,"56,258.2"
28,Nevada,"74,570.4"
29,New Hampshire,"48,122.3"
30,New Jersey,"356,002.8"
31,New Mexico,"49,042.2"
32,New York,"718,701.9"
33,North Carolina,"241,164.5"
34,North Dakota,"19,022.2"
35,Ohio,"349,796.1"
36,Oklahoma,"94,303.3"
37,Oregon,"105,562.2"
38,Pennsylvania,"409,648.6"
39,Rhode Island,"36,809.0"
40,South Carolina,"111,166.4"
41,South Dakota,"22,919.6"
42,Tennessee,"170,680.0"
43,Texas,"655,821.6"
44,Utah,"61,152.6"
45,Vermont,"19,812.9"
46,Virginia,"265,980.4"
47,Washington,"210,864.2"
48,West Virginia,"44,871.4"
49,Wisconsin,"175,869.8"
50,Wyoming,"16,668.8"
