,State,Value
0,Alabama,"136,215.3"
1,Alaska *,"25,888.5"
2,Arizona,"188,149.0"
3,Arkansas,"78,138.5"
4,California,"1,408,965.3"
5,Colorado,"174,771.6"
6,Connecticut,"175,733.0"
7,District of Columbia,"30,275.6"
8,Delaware,"33,165.8"
9,Florida,"641,627.4"
10,Georgia,"296,727.3"
11,Hawaii *,"47,359.5"
12,Idaho,"41,760.7"
13,Illinois,"477,013.2"
14,Indiana,"196,766.9"
15,Iowa,"96,375.8"
16,Kansas,"88,492.2"
17,Kentucky,"121,520.0"
18,Louisiana,"135,724.9"
19,Maine,"43,169.9"
20,Maryland,"244,346.5"
21,Massachusetts,"285,647.2"
22,Michigan,"329,225.6"
23,Minnesota,"193,840.6"
24,Mississippi,"77,774.1"
25,Missouri,"186,877.8"
26,Montana,"27,955.6"
27,Nebraska,"60,704.8"
28,Nevada,"93,328.8"
29,New Hampshire,"52,919.6"
30,New Jersey,"386,942.7"
31,New Mexico,"55,782.3"
32,New York,"787,298.4"
33,North Carolina,"281,072.8"
34,North Dakota,"20,416.0"
35,Ohio,"374,068.0"
36,Oklahoma,"111,052.3"
37,Oregon,"117,144.7"
38,Pennsylvania,"451,890.3"
39,Rhode Island,"39,561.9"
40,South Carolina,"124,488.7"
41,South Dakota,"26,055.1"
42,Tennessee,"188,857.5"
43,Texas,"747,110.9"
44,Utah,"71,386.9"
45,Vermont,"21,467.3"
46,Virginia,"304,720.5"
47,Washington,"235,226.5"
48,West Virginia,"48,840.4"
49,Wisconsin,"190,527.6"
50,Wyoming,"19,574.5"
